"Data Source","World Development Indicators",

"Last Updated Date","2022-09-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Belarus","BLR","Intentional homicides, female (per 100,000 female)","VC.IHR.PSRC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.3743572962223","3.62137513706311","3.92411864394351","2.69796036180442","2.32205746199119","2.50050803972871","2.04320323484697","2.29973884086422","2.29838916602751","2.09913917470957","1.86069860126931","1.66238042982429","1.72192120488566","","",
"Belize","BLZ","Intentional homicides, female (per 100,000 female)","VC.IHR.PSRC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.1870042930947","","","","","5.7285798850465","10.0070126662405","7.267397847639","8.27990821130326","5.78007953389439","6.78276499414986","4.97812391103539","8.12360883198752","5.83619395264194","9.88178267359432","8.67037282603152","5.50385269688782","",
"Bermuda","BMU","Intentional homicides, female (per 100,000 female)","VC.IHR.PSRC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","3.0932967111","","","","3.0290105936","","","","","","","","2.9322256398","0","","","","2.9669729445","0","6.0013293673","0","0","3.0583383228","0","0","0","","","","",
"Bolivia","BOL","Intentional homicides, female (per 100,000 female)","VC.IHR.PSRC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.84224905039104","","","","","","","4.4577721349658","3.44356067818104","4.09308831771557","3.62704815428366","5.30217977145163","","",
"Brazil","BRA","Intentional homicides, female (per 100,000 female)","VC.IHR.PSRC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.16386831823268","3.27844412289441","2.8296749379323","3.04573822798169","3.242127477992","3.73649652280576","4.43923915588338","4.25597056192504","4.09163037442308","4.06782368947743","4.2433453705051","4.30474457187191","4.26779935899639","4.28674081131719","4.12197276498418","4.12855175504034","4.22494164995274","3.92393485536559","4.14164504207549","4.34264846532534","4.50304347661253","4.51016587493248","4.67313942486111","4.67387431619586","4.69739998425001","4.44929314756936","4.43498518004435","4.6694307689276","4.24050845302392","3.47663677259121","3.53854207590115","",
"Barbados","BRB","Intentional homicides, female (per 100,000 female)","VC.IHR.PSRC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.12443682881073","6.62578313075615","2.93414315684462","3.6538489644992","4.36655798789008","3.6232146609758","","","","","3.54461608263209","3.15287774502148","5.27789897397644","7.71415547529717","0.61489871639893","6.37407933017951","1.0545224248713","4.13847331719329","2.7462907910004","2.05123997456462","5.45163378650039","1.35952688464414","1.3572388333175","4.74495848161329","2.03174947174514","2.03005839801325","1.35230161735273","1.35129656905801","2.70060426020322","3.37363705063155","2.02310384592041","",
"Brunei Darussalam","BRN","Intentional homicides, female (per 100,000 female)","VC.IHR.PSRC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.05024466252973","1.32391587838509","0","1.2473882807871","1.21642662514597","","","","","","","","","","","","","","","","","","","","","",
"Bhutan","BTN","Intentional homicides, female (per 100,000 female)","VC.IHR.PSRC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.581620219445309","1.15109238667495","1.13939338696078","0.564038061288376","0.558562483592227","1.38303021921029","",
"Botswana","BWA","Intentional homicides, female (per 100,000 female)","VC.IHR.PSRC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Central African Republic","CAF","Intentional homicides, female (per 100,000 female)","VC.IHR.PSRC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.61669915","","","","","",
